Size,Data Type,Time (s),Iterations
4948,reversed,0.002115964889526367,41547
5151,random,0.004343986511230469,67106
5151,almost_sorted,0.003354310989379883,62207
5151,reversed,0.0022020339965820312,43273
5353,random,0.004423856735229492,71955
5353,almost_sorted,0.003136873245239258,60083
5353,reversed,0.0022819042205810547,44989
5555,random,0.004282951354980469,63777
5555,almost_sorted,0.0033049583435058594,63037
5555,reversed,0.0023651123046875,46707
5757,random,0.004553794860839844,71777
5757,almost_sorted,0.0038619041442871094,68895
5757,reversed,0.002445697784423828,48424
5959,random,0.0049610137939453125,80553
5959,almost_sorted,0.0037932395935058594,71051
5959,reversed,0.0025298595428466797,50141
6161,random,0.004984855651855469,74901
6161,almost_sorted,0.004036903381347656,75120
6161,reversed,0.0026178359985351562,51855
6363,random,0.004698991775512695,78347
6363,almost_sorted,0.003854036331176758,75785
6363,reversed,0.002763986587524414,53575
6565,random,0.004866123199462891,79567
6565,almost_sorted,0.003795146942138672,76806
6565,reversed,0.0025920867919921875,55291
6767,random,0.005277156829833984,90349
6767,almost_sorted,0.004136085510253906,82683
6767,reversed,0.0027070045471191406,57008
6969,random,0.005265235900878906,86475
6969,almost_sorted,0.003694772720336914,76945
6969,reversed,0.0027480125427246094,58720
7171,random,0.0054509639739990234,91101
7171,almost_sorted,0.004386186599731445,88336
7171,reversed,0.0028510093688964844,60443
7373,random,0.005725383758544922,98312
7373,almost_sorted,0.0045032501220703125,90056
7373,reversed,0.002904176712036133,62160
7575,random,0.005989789962768555,102532
7575,almost_sorted,0.004776954650878906,94991
7575,reversed,0.0029878616333007812,64024
7777,random,0.006022930145263672,101330
7777,almost_sorted,0.0046160221099853516,94087
7777,reversed,0.0032050609588623047,67153
7979,random,0.006005048751831055,100105
7979,almost_sorted,0.004839897155761719,96446
7979,reversed,0.0037839412689208984,71737
8181,random,0.006263017654418945,105444
8181,almost_sorted,0.004524946212768555,93693
8181,reversed,0.0036208629608154297,76283
8383,random,0.006523847579956055,110226
8383,almost_sorted,0.005187034606933594,102367
8383,reversed,0.0037348270416259766,78599
8585,random,0.006705284118652344,113517
8585,almost_sorted,0.005783796310424805,112208
8585,reversed,0.003810882568359375,80533
8787,random,0.0071980953216552734,125113
8787,almost_sorted,0.005154609680175781,104365
8787,reversed,0.0038928985595703125,82453
8989,random,0.00698089599609375,116571
8989,almost_sorted,0.005407094955444336,110209
8989,reversed,0.003985881805419922,84369
9191,random,0.0071260929107666016,118234
9191,almost_sorted,0.0055239200592041016,112197
9191,reversed,0.0040740966796875,86287
9393,random,0.007513761520385742,127995
9393,almost_sorted,0.005775928497314453,116741
9393,reversed,0.004148006439208984,88206
9595,random,0.007528781890869141,126219
9595,almost_sorted,0.005630970001220703,115951
9595,reversed,0.004260063171386719,90124
9797,random,0.0077931880950927734,131874
9797,almost_sorted,0.006176948547363281,124568
9797,reversed,0.004331827163696289,92045
10000,random,0.007931232452392578,133698
10000,almost_sorted,0.0062520503997802734,126266
10000,reversed,0.004456996917724609,93975
